mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000119772.16	0.00276994147110763	-0.0139641958015054	-0.0140313277731416	mock_slope	249.307459457354	Not	Not	Significant
ENSG00000008517.16	-0.058330371825018	0.101612113263046	0.10226916923305	mock_slope	245.316563561181	Significant	Significant	Significant
ENSG00000225663.7	-0.0403104833587376	-0.0358851171140059	-0.0359035272410014	mock_slope	239.337212838149	Significant	Not	Not
ENSG00000086061.16	-0.00528063763091905	0.021834395377381	0.0217120330135585	mock_slope	220.672474728706	Not	Significant	Significant
ENSG00000118849.10	0.0523065027435725	0.0223349123214843	0.0221859172634698	mock_slope	200.963097469377	Significant	Not	Significant
ENSG00000033867.16	0.0143906002796795	-0.0172861472603006	-0.0171126849082925	mock_slope	181.652906242007	Not	Not	Significant
ENSG00000234883.5	-0.0487369170666376	0.195190233809135	0.196576471039359	mock_slope	180.870940355829	Not	Significant	Significant
ENSG00000118503.15	-0.058261904535641	0.138506104202635	0.13738124447936	mock_slope	176.402455094217	Significant	Significant	Significant
ENSG00000196116.8	0.01565707474528	0.115220807906859	0.115807851693125	mock_slope	170.993984494081	Not	Significant	Significant
ENSG00000133401.16	-0.0397481535106742	0.112154745292834	0.113064331740745	mock_slope	168.576987094889	Not	Not	Significant
ENSG00000109920.12	0.00268171050339068	0.0319624609177866	0.0317831069173719	mock_slope	162.361919823628	Not	Significant	Significant
ENSG00000152332.16	0.00764566695724775	-0.0263876295538382	-0.0265992538584836	mock_slope	160.902639708088	Not	Not	Significant
ENSG00000177842.12	-0.0101057558841959	0.0553565945255724	0.0549401381838501	mock_slope	156.530288727658	Not	Not	Significant
ENSG00000134326.11	-0.0078470522088821	0.229065074874828	0.227473504036843	mock_slope	153.042467969884	Not	Significant	Significant
ENSG00000249784.1	0.0115158378612922	0.0612272252125758	0.0608440344881162	mock_slope	129.014810271886	Not	Not	Significant
ENSG00000107201.10	0.0143734382956724	0.172732364098336	0.174008247367333	mock_slope	126.485924352986	Not	Significant	Significant
ENSG00000163565.18	0.0128583236241738	0.15551621977332	0.156677219515955	mock_slope	124.779271159576	Not	Significant	Significant
ENSG00000202515.1	-0.0425119643019718	0.0631947733339535	0.0640457385745969	mock_slope	124.593393091656	Not	Not	Significant
ENSG00000059378.12	-0.0182714398447056	0.0940914798011162	0.0951455752960921	mock_slope	107.284538528154	Not	Significant	Significant
ENSG00000154127.10	0.0119370336548309	-0.0305730588682227	-0.0309831685103027	mock_slope	103.729006630785	Not	Significant	Significant
ENSG00000137177.20	0.0069207082532929	0.0230566242202275	0.0232149285623239	mock_slope	101.959154965487	Not	Not	Significant
ENSG00000116991.10	0.00129730892580017	0.20923030051258	0.211348376707548	mock_slope	101.045089965559	Not	Not	Significant
ENSG00000155111.15	0.0547290287213255	0.0155155375859291	0.0159256449757607	mock_slope	94.5112508339827	Significant	Not	Not
ENSG00000156711.17	-0.00302457911406691	-0.0311901630916334	-0.0308849424242469	mock_slope	91.3351893894693	Not	Not	Significant
ENSG00000112763.17	-0.00415580265628258	0.0259872385719309	0.0263199007983054	mock_slope	90.6558713816242	Not	Not	Significant
ENSG00000130193.8	-0.0167780901539937	-0.0497107390504299	-0.0493493555425945	mock_slope	90.2438734135199	Not	Significant	Significant
ENSG00000137965.11	0.0172959063748905	0.132505567078501	0.131224246145741	mock_slope	89.8702561355987	Not	Significant	Significant
ENSG00000113240.13	-0.0108601020677844	0.0509507474482562	0.0502448430832631	mock_slope	86.7236891772318	Not	Not	Significant
ENSG00000129810.15	0.0566273976058685	0.035179673949823	0.0349190842649822	mock_slope	82.2292910433854	Significant	Not	Not
ENSG00000146232.16	0.00146242318591234	0.0812099106327396	0.0802250751980998	mock_slope	80.3212934750996	Not	Significant	Significant
ENSG00000128311.14	-0.012874544428209	-0.0200522343097374	-0.0201436111823293	mock_slope	78.5604983160536	Not	Not	Significant
ENSG00000100065.15	-0.00752324111732965	-0.0421540685547164	-0.0425988162427147	mock_slope	77.9502016578105	Not	Not	Significant
ENSG00000140474.14	-0.0300515679289918	-0.0123472717943496	-0.0125719494622589	mock_slope	77.7734238773587	Significant	Not	Not
ENSG00000154914.17	0.00666836214482605	0.0872206778291702	0.086171617295533	mock_slope	76.1509770809336	Not	Not	Significant
ENSG00000147862.17	0.0343411547884258	-0.0109010233610246	-0.0102863105836813	mock_slope	72.5845017623222	Significant	Not	Not
ENSG00000169714.16	-0.0188171636506958	-0.0105112551393082	-0.0103960535181386	mock_slope	72.0908481764402	Significant	Not	Significant
ENSG00000156453.13	-0.00360902859537902	-0.033360871632162	-0.0329509437158265	mock_slope	71.6278522015802	Not	Significant	Significant
ENSG00000138496.16	0.0137234523878553	0.103580927981767	0.104854270193615	mock_slope	71.0431613665732	Not	Significant	Significant
ENSG00000198420.10	0.0444098987077493	0.0122574401984217	0.012709445078989	mock_slope	70.0809090357746	Significant	Not	Not
ENSG00000130589.16	0.0055677373622346	0.151551529784663	0.149422112394648	mock_slope	68.5586654312485	Not	Significant	Significant
ENSG00000114439.19	0.0369259170137326	0.0141629565679207	0.0138236290701951	mock_slope	67.0490674950173	Significant	Not	Significant
ENSG00000187231.14	0.0321894187425053	-0.00525494630309411	-0.00581470648072609	mock_slope	66.8756996546159	Significant	Not	Not
ENSG00000136830.12	0.0201562732581756	-0.0227026345801216	-0.0220452419085753	mock_slope	64.2178440832946	Significant	Significant	Not
