baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000171855.7	3641.91308711988	14.467277470203	1.43382669357866	10.0899763792892	6.11842394939332e-24	3.11595542261442e-22	Significant
ENSG00000183709.7	1153.42379270652	14.2500726370533	1.44798941671603	9.84128231363162	7.47519111514765e-23	3.64055258808412e-21	Significant
ENSG00000197110.8	831.456728603811	13.7771731277171	1.45028979391538	9.49960013889535	2.10697789084268e-21	9.52665779045695e-20	Significant
ENSG00000138135.6	133.16851096927	11.1325548132207	1.47236561212646	7.56099892685114	3.99985545727528e-14	1.16401323560799e-12	Significant
ENSG00000243978.8	314.368087618709	10.9296217309116	1.44522273258319	7.56258636437029	3.95132590519955e-14	1.15165952729239e-12	Significant
ENSG00000182393.3	2560.42782363181	10.4984052558152	0.449800779103428	23.3401224354065	1.73630790776033e-120	4.63300750880555e-118	Significant
ENSG00000077522.13	69.165690257545	10.1896282383039	1.49143608141615	6.83209181088649	8.36852600782573e-12	2.0325862207469e-10	Significant
ENSG00000272395.7	67.6175403186158	10.1570021473264	1.49246504560256	6.80552095826521	1.00684219450524e-11	2.43298793047217e-10	Significant
ENSG00000232810.4	136.595181249671	9.72416483584365	1.4610900308113	6.65541796246744	2.8249609408939e-11	6.49501031859647e-10	Significant
ENSG00000091879.13	46.5810071554735	9.61889303913934	1.51388585436435	6.35377694520971	2.10091416476667e-10	4.42242431683385e-09	Significant
ENSG00000175121.11	40.3521098110115	9.41016151547054	1.52603543875749	6.16641086863119	6.98574275169722e-10	1.38003020261631e-08	Significant
ENSG00000261402.1	39.3326330877123	9.36795892429368	1.54545975039589	6.06160006554292	1.34773997042537e-09	2.58169198581483e-08	Significant
ENSG00000133107.14	32.0653241659708	9.07307073670398	1.56240151024125	5.80713131498638	6.35522926025213e-09	1.12208591179382e-07	Significant
ENSG00000197083.11	30.6347483606601	9.02087590068826	1.5503347137416	5.81866342843935	5.9320042980889e-09	1.05292647016721e-07	Significant
ENSG00000153253.17	563.417483284618	8.96404480886593	0.565449857938143	15.8529437809967	1.34146882578984e-56	1.58838293153678e-54	Significant
ENSG00000250508.1	148.123457030733	8.84568944365256	1.05277290524429	8.40227688192636	4.379038319598e-17	1.52501619420559e-15	Significant
ENSG00000164188.8	27.1013052986428	8.84538622699064	1.56548090682528	5.65026771545152	1.60198146362699e-08	2.69056195287352e-07	Significant
ENSG00000136297.14	26.2183375629423	8.78936736311993	1.5659021281006	5.61297363698024	1.98878908875573e-08	3.29637876522111e-07	Significant
ENSG00000271503.6	2172.69289863649	8.76441425806263	0.288487261601046	30.380593615891	9.91316561784483e-203	4.94223480605448e-200	Significant
ENSG00000169248.12	704.702093016752	8.63543407329417	0.455011885881434	18.9784802139089	2.56920727523352e-80	4.68015690666337e-78	Significant
ENSG00000144596.13	22.1112423291672	8.54227174024807	1.5888679119456	5.37632592113206	7.60211281974725e-08	1.16428478067997e-06	Significant
ENSG00000188385.11	22.0110309303138	8.53668113251479	1.58841155355599	5.37435094412632	7.68590327046216e-08	1.17616669999116e-06	Significant
ENSG00000154451.14	223.02067964549	8.4331603704805	0.753600374929797	11.1904938625676	4.53898414362552e-29	2.79191735717485e-27	Significant
ENSG00000271554.1	20.1898630161872	8.40715066919798	1.61019632577186	5.22119603345137	1.77771234393874e-07	2.57286175369896e-06	Significant
ENSG00000176716.5	18.5052040896593	8.2787829623139	1.63458195308268	5.06477080987027	4.08891986989143e-07	5.59715223519459e-06	Significant
ENSG00000169245.6	3207.96453158719	8.25692293810934	0.199009339249019	41.4901278968496	0	0	Significant
ENSG00000173114.13	17.7121942662144	8.23687484605283	1.64039618867757	5.02127163114974	5.13305078315475e-07	6.92139836917201e-06	Significant
ENSG00000156076.10	17.503090101125	8.20930811370969	1.62206592977094	5.06102000112224	4.1701946107071e-07	5.69605889688868e-06	Significant
ENSG00000270240.2	46.3101091648948	8.16210032203905	1.50170876211995	5.43520856235577	5.47323751512648e-08	8.54826749580141e-07	Significant
ENSG00000226751.2	16.3194881688643	8.09905189865289	1.64839054821435	4.9133088681116	8.95520306168574e-07	1.1572736835173e-05	Significant
ENSG00000243795.1	15.7182197757437	8.05246913440319	1.64166354137872	4.90506667866941	9.33956067511561e-07	1.20284144792702e-05	Significant
ENSG00000270379.5	15.2171627814766	8.0128573556297	1.65207426932827	4.85017986442444	1.23349569285473e-06	1.54964031174621e-05	Significant
ENSG00000155918.7	40.2069193592129	7.95973732630265	1.51260737944206	5.26226265618159	1.42293289961309e-07	2.08972587466434e-06	Significant
ENSG00000198785.5	14.1976860581774	7.89499588309917	1.69000874909022	4.67157101248694	2.98904723827405e-06	3.55477086811688e-05	Significant
ENSG00000261227.2	13.4962062662034	7.83131236135264	1.6731306600899	4.68063406412735	2.8598901978858e-06	3.41187782109235e-05	Significant
ENSG00000249916.1	13.3320810572419	7.82253439866667	1.68002309417086	4.65620646871365	3.2208893818591e-06	3.81850746804259e-05	Significant
ENSG00000169946.14	13.3596972786047	7.81270539229749	1.6812020949277	4.64709472815252	3.36642599703115e-06	3.97859890915503e-05	Significant
ENSG00000167244.20	69.1780636319442	7.73871631810194	1.09091865360246	7.09376110908633	1.30515350873998e-12	3.40580347425331e-11	Significant
ENSG00000279400.1	12.6219198978854	7.73647672346165	1.68696107616291	4.58604340833916	4.5172472181753e-06	5.21824686270312e-05	Significant
ENSG00000164400.6	12.6495361192482	7.72745294640024	1.72072012937972	4.49082498336659	7.09478325134885e-06	7.92983296146336e-05	Significant
