baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000275110.1	20.3615949504704	-7.31120013965944	4.78670279291154	1.52739797225061	0.12666208037857	0.617970703577105	Not
ENSG00000169688.11	3.86120930965681	-4.9108940525456	2.09370091184327	2.34555662882245	0.0189986922909128	NA	Not
ENSG00000261628.1	3.42071819701848	-4.74237729128782	4.79638716778465	0.988739466893	0.322790627714298	NA	Not
ENSG00000263006.6	3.30389275513515	-4.69325591327219	2.18793339249734	2.14506343262819	0.031947775642459	NA	Not
ENSG00000271851.1	3.26161706017447	-4.67004940760691	2.19279254660341	2.129726961559	0.033194161720304	NA	Not
ENSG00000224955.1	3.18706731325181	-4.61585417131692	2.28791882445979	2.01749035934734	0.0436443660956682	NA	Not
ENSG00000107736.20	3.02023365637497	-4.57434435735476	2.27908220802096	2.0070993232521	0.0447390882845271	NA	Not
ENSG00000256341.1	2.98795960441299	-4.54083594554669	2.24993818963811	2.01820475178345	0.0435699414775581	NA	Not
ENSG00000165309.14	2.93568226645361	-4.52433356536289	2.26658723898842	1.99609946069498	0.0459230977359252	NA	Not
ENSG00000283907.1	2.91340985749034	-4.48397502518639	2.42527311108179	1.84885364237858	0.0644789491153719	NA	Not
ENSG00000239912.1	2.86113251953095	-4.4628458018651	2.32695048804372	1.91789461133616	0.0551243756597641	NA	Not
ENSG00000188877.12	2.7765811296096	-4.41653056204133	2.62884579411047	1.68002648612402	0.092952162581589	NA	Not
ENSG00000277837.1	2.71430214865151	-4.39891313088707	2.319032361591	1.89687440492169	0.0578445162558187	NA	Not
ENSG00000249958.1	2.72430379165022	-4.39015457768557	2.37866943307472	1.84563458740492	0.0649452809107047	NA	Not
ENSG00000179873.14	2.66202481069213	-4.38074626649556	2.33145559598793	1.87897478040506	0.0602479368760576	NA	Not
ENSG00000280381.1	2.57747342077077	-4.32236321743548	2.35928103864243	1.8320679675884	0.0669412950259564	NA	Not
ENSG00000234473.1	2.53519772581009	-4.29250610072754	2.38865455108973	1.79703929928639	0.0723293810390588	NA	Not
ENSG00000110876.9	2.42064140689263	-4.26103689130098	2.50209014642462	1.70299095633697	0.0885697608520563	NA	Not
ENSG00000277945.1	2.33609001697127	-4.20031564741946	2.44666924876859	1.71674845283378	0.086025142982027	NA	Not
ENSG00000199059.3	2.29381432201059	-4.16783290651639	2.44622050066087	1.70378463649961	0.0884213292489447	NA	Not
ENSG00000237810.3	2.30381596500929	-4.1559644529936	2.45564963934316	1.69240936752901	0.0905679475026676	NA	Not
ENSG00000272112.1	2.30381596500929	-4.1559644529936	2.45564963934316	1.69240936752901	0.0905679475026676	NA	Not
ENSG00000267583.5	2.26154027004862	-4.12283457632841	2.50292585290394	1.64720603750408	0.0995157032756634	NA	Not
ENSG00000237766.2	2.20926293208923	-4.0999590130332	2.47822688822586	1.65439211095329	0.0980478683472387	NA	Not
ENSG00000274598.1	2.20926293208923	-4.0999590130332	2.47822688822586	1.65439211095329	0.0980478683472387	NA	Not
ENSG00000254548.1	2.15698559412985	-4.07757049535258	2.49406042052139	1.63491247517578	0.102067396899179	NA	Not
ENSG00000260392.5	2.15698559412985	-4.07757049535258	2.49406042052139	1.63491247517578	0.102067396899179	NA	Not
ENSG00000264456.1	2.15698559412985	-4.07757049535258	2.49406042052139	1.63491247517578	0.102067396899179	NA	Not
ENSG00000137699.17	2.16698723712856	-4.0650500232584	2.51477434414948	1.61646711273144	0.105993358300692	NA	Not
ENSG00000152284.5	2.16698723712856	-4.0650500232584	2.51477434414948	1.61646711273144	0.105993358300692	NA	Not
ENSG00000157064.11	2.11470989916917	-4.04182422232205	2.50868905388886	1.61113001073473	0.107151388503837	NA	Not
ENSG00000164850.15	2.11470989916917	-4.04182422232205	2.50868905388886	1.61113001073473	0.107151388503837	NA	Not
ENSG00000171812.13	2.0724342042085	-4.00521003961234	2.53633122916327	1.57913524604341	0.114305038760645	NA	Not
ENSG00000232901.1	2.0824358472072	-4.00026052908276	2.85729539296489	1.40001644174838	0.161508394961576	NA	Not
ENSG00000138185.20	2.02015686624911	-3.98126569486377	2.54779645517742	1.56263098913313	0.118139414961675	NA	Not
ENSG00000272056.1	2.02015686624911	-3.98126569486377	2.54779645517742	1.56263098913313	0.118139414961675	NA	Not
ENSG00000165186.12	2.03015850924782	-3.96812151868415	2.58395621060598	1.53567676665602	0.124617676004097	NA	Not
ENSG00000264314.1	2.03015850924782	-3.96812151868415	2.58395621060598	1.53567676665602	0.124617676004097	NA	Not
ENSG00000226862.1	6.17042928315279	-3.94586026272155	4.60244070937678	0.857340813686627	0.391256558708154	NA	Not
ENSG00000143552.9	1.93560547632776	-3.9038384186436	2.60334552772857	1.49954678588121	0.133731840853677	NA	Not
ENSG00000267128.1	1.93560547632776	-3.9038384186436	2.60334552772857	1.49954678588121	0.133731840853677	NA	Not
ENSG00000273375.1	1.93560547632776	-3.9038384186436	2.60334552772857	1.49954678588121	0.133731840853677	NA	Not
ENSG00000280194.1	1.93560547632776	-3.9038384186436	2.60334552772857	1.49954678588121	0.133731840853677	NA	Not
ENSG00000264655.1	1.87332649536967	-3.89061082717464	2.69399409676874	1.44417941815135	0.148688512853572	NA	Not
ENSG00000103647.12	1.88332813836837	-3.87805556498495	2.60861675243091	1.48663292964406	0.137111785692477	NA	Not
ENSG00000151778.11	1.88332813836837	-3.87805556498495	2.60861675243091	1.48663292964406	0.137111785692477	NA	Not
ENSG00000198156.10	1.88332813836837	-3.87805556498495	2.60861675243091	1.48663292964406	0.137111785692477	NA	Not
ENSG00000108821.13	1.89332978136708	-3.86441074621467	2.66869377323119	1.44805327047162	0.147602152990149	NA	Not
ENSG00000261083.2	1.89332978136708	-3.86441074621467	2.66869377323119	1.44805327047162	0.147602152990149	NA	Not
ENSG00000262652.1	1.83105080040899	-3.85139842991918	2.66263737375219	1.446459990341	0.148048226175573	NA	Not
ENSG00000109771.15	1.74649941048764	-3.76687763756084	2.67808169292166	1.40655815224641	0.15955844944514	NA	Not
ENSG00000258967.1	1.74649941048764	-3.76687763756084	2.67808169292166	1.40655815224641	0.15955844944514	NA	Not
ENSG00000253582.1	1.75650105348634	-3.75323827240214	2.78495426256461	1.34768398995029	0.177760043595034	NA	Not
ENSG00000184163.3	1.69422207252825	-3.73826171831918	2.7303116485012	1.36917033642342	0.170946036134411	NA	Not
ENSG00000241003.1	1.69422207252825	-3.73826171831918	2.7303116485012	1.36917033642342	0.170946036134411	NA	Not
ENSG00000110799.13	1.70422371552696	-3.72241869732635	2.71312533499664	1.37200395769072	0.170062205769057	NA	Not
ENSG00000142178.8	1.70422371552696	-3.72241869732635	2.71312533499664	1.37200395769072	0.170062205769057	NA	Not
ENSG00000223999.1	1.70422371552696	-3.72241869732635	2.71312533499664	1.37200395769072	0.170062205769057	NA	Not
ENSG00000142619.4	1.64194473456887	-3.70241545115873	3.04401484897886	1.21629349226096	0.223873139683878	NA	Not
ENSG00000101955.15	1.65194637756757	-3.69326228305157	2.73423134215274	1.35074974312296	0.176775611970517	NA	Not
ENSG00000158458.20	1.65194637756757	-3.69326228305157	2.73423134215274	1.35074974312296	0.176775611970517	NA	Not
ENSG00000267787.6	1.65194637756757	-3.69326228305157	2.73423134215274	1.35074974312296	0.176775611970517	NA	Not
ENSG00000199121.4	1.66194802056628	-3.67722345098819	2.77943156536641	1.32301276880096	0.185831131563311	NA	Not
ENSG00000258092.1	1.66194802056628	-3.67722345098819	2.77943156536641	1.32301276880096	0.185831131563311	NA	Not
ENSG00000267672.1	1.59966903960819	-3.6620343090044	2.83118504625071	1.29346342580255	0.195850825810297	NA	Not
ENSG00000140839.11	1.6096706826069	-3.64640381444627	2.75830774478042	1.32197135049431	0.186177691186577	NA	Not
ENSG00000166111.9	1.6196723256056	-3.63677652129178	3.0967074667249	1.1744010567256	0.240234422207463	NA	Not
ENSG00000249301.1	1.6196723256056	-3.63677652129178	3.0967074667249	1.1744010567256	0.240234422207463	NA	Not
ENSG00000227436.1	1.55739334464751	-3.61545247340254	2.80804475055658	1.28753378046626	0.197908303278917	NA	Not
ENSG00000233178.7	1.55739334464751	-3.61545247340254	2.80804475055658	1.28753378046626	0.197908303278917	NA	Not
ENSG00000267312.1	1.55739334464751	-3.61545247340254	2.80804475055658	1.28753378046626	0.197908303278917	NA	Not
ENSG00000144481.17	4.50152419246966	-3.60045229337281	1.96298706237463	1.83417015954111	0.0666287394808516	NA	Not
ENSG00000250050.1	1.56739498764622	-3.5981120087514	2.80569146400023	1.28243324503735	0.199690708249553	NA	Not
ENSG00000267076.1	1.56739498764622	-3.5981120087514	2.80569146400023	1.28243324503735	0.199690708249553	NA	Not
