baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000118523.6	1100.95870713491	0.690542604744575	0.147104336731266	4.69423689395424	2.67603783646305e-06	0.00166866924287305	Significant
ENSG00000178209.15	8115.27664737817	0.657146455754121	0.147189701975304	4.46462250371551	8.02100454084973e-06	0.00327156722709908	Significant
ENSG00000124762.13	1006.30571226835	0.61773019871733	0.158011015586953	3.90941224206862	9.25209587064672e-05	0.0131259081851827	Significant
ENSG00000137801.10	8997.76875960621	0.584284779487316	0.113915229508195	5.12911910031559	2.91101136169723e-07	0.000474931503660904	Significant
ENSG00000196914.9	762.216148769235	0.567191678722744	0.157403092971402	3.60343413852607	0.000314040348638078	0.0268026375295255	Significant
ENSG00000164171.11	1970.70458136249	0.552101485890696	0.141614382115954	3.89862581498703	9.67401322607012e-05	0.0131526271486112	Significant
ENSG00000177606.6	868.144728775917	0.547664127395896	0.144547196138925	3.78882567095618	0.000151361077120485	0.0172543001871336	Significant
ENSG00000060749.15	758.419366373332	0.540936153024006	0.183649959436625	2.94547384972702	0.00322460404265236	0.0812560928981566	Not
ENSG00000142798.20	1220.98708416801	0.524028978149302	0.145244299677188	3.6079142473335	0.00030866846776193	0.0268026375295255	Significant
ENSG00000138623.10	1134.31214011073	0.509246915703691	0.134522684724574	3.78558394627894	0.000153348055601248	0.0172543001871336	Significant
ENSG00000146648.18	3479.06938291801	0.504715413298627	0.144372188907895	3.4959324030241	0.00047240835786948	0.0335943723220101	Significant
ENSG00000251562.8	29584.0318615532	0.490638528912501	0.147232666450862	3.33240265723402	0.000860995847844797	0.0463799021746941	Significant
ENSG00000128342.5	2916.6210616116	0.490303371952943	0.125373971249434	3.91072697998433	9.20187401506942e-05	0.0131259081851827	Significant
ENSG00000164880.16	802.54524847555	0.489977058268309	0.148376307746859	3.30225940858595	0.000959093264107656	0.0488987706372387	Significant
ENSG00000182963.10	768.806441176513	0.488864399523217	0.189164523870512	2.58433446991286	0.00975671259244785	0.128891308458127	Not
ENSG00000055609.18	1501.19424467089	0.483238931077824	0.15892920904877	3.04059231131977	0.00236113300387989	0.0706823577216521	Not
ENSG00000179820.16	1039.95947050144	0.471278311244036	0.147962068487224	3.18512924334206	0.00144689373146088	0.0554340059093427	Not
ENSG00000123908.12	1903.43599107074	0.468762250683592	0.157243011223028	2.98113249700309	0.00287184509847769	0.0768100865273171	Not
ENSG00000086758.16	3832.8397097743	0.466500419510663	0.1347838034903	3.46110146345763	0.000537970010838757	0.0351079229073373	Significant
ENSG00000125755.18	800.002820085312	0.455323568579055	0.173271160732829	2.62780930567627	0.00859366754871646	0.124350184774665	Not
ENSG00000065060.17	858.366531456089	0.452000059427186	0.16633402212944	2.7174239740048	0.00657922686077911	0.112397996056137	Not
ENSG00000198466.12	761.040910050755	0.451201663783098	0.172640516038817	2.61353287244373	0.00896114627572753	0.125323812416627	Not
ENSG00000147454.14	933.440342480931	0.434270775938005	0.148863383425101	2.91724375696796	0.00353139676278543	0.0828989038630854	Not
ENSG00000114270.17	714.499257061545	0.430495056933533	0.158823336362635	2.71052772717607	0.00671762317443344	0.113021676005406	Not
