baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000110680.12	8.11949761843673	6.91497147215969	1.77118940362197	3.90414004172508	9.45610168957176e-05	NA	Not
ENSG00000223203.1	7.10169001936914	6.72182945494315	1.81251626792069	3.70856227550135	0.000208439399532765	NA	Not
ENSG00000077522.13	5.76374919903237	6.42013576014363	1.89659491725635	3.38508539790412	0.000711561132468473	NA	Not
ENSG00000108821.13	4.73446001291276	6.13686579742705	1.97280095590028	3.11073744113557	0.0018662079235661	NA	Not
ENSG00000185518.11	4.35691885638352	6.01890710133752	2.02509649021477	2.97215818131175	0.00295714286340041	NA	Not
ENSG00000265799.1	4.35691885638352	6.01890710133752	2.02509649021477	2.97215818131175	0.00295714286340041	NA	Not
ENSG00000271259.1	3.77406034910523	5.80980734963449	4.80414336199695	1.20933263474042	0.226535077895156	NA	Not
ENSG00000183813.6	3.76257876205322	5.80335588094823	2.18698387040837	2.65358878932407	0.00796408148660509	NA	Not
ENSG00000273777.4	3.70517082679315	5.7840725381234	2.09532341112141	2.76046767168405	0.00577186701824035	NA	Not
ENSG00000271243.1	3.43096395373203	5.67226451785935	4.80608038225714	1.18022672671059	0.237910051810884	NA	Not
ENSG00000255495.1	3.408000779628	5.66105450822415	2.1879528991967	2.58737494317294	0.00967102937168458	NA	Not
ENSG00000188460.4	3.37355601847196	5.64846271913779	2.14878920798783	2.62867232306473	0.0085718913236526	NA	Not
ENSG00000279232.2	3.33911125731592	5.63577408081938	2.19623275649411	2.56610965488734	0.0102846309556607	NA	Not
ENSG00000225742.5	3.08786755835882	5.52021326485018	4.80844693713513	1.14802416185945	0.25095858946948	NA	Not
ENSG00000268105.1	3.08786755835882	5.52021326485018	4.80844693713513	1.14802416185945	0.25095858946948	NA	Not
ENSG00000279676.1	3.07638597130681	5.51289569213399	2.29170071692418	2.40559146812729	0.016146309414861	NA	Not
ENSG00000113196.3	3.05342279720278	5.50340763279258	2.22316014593025	2.47548861599881	0.0133054003437794	NA	Not
ENSG00000215861.5	3.05342279720278	5.50340763279258	2.22316014593025	2.47548861599881	0.0133054003437794	NA	Not
ENSG00000249958.1	3.05342279720278	5.50340763279258	2.22316014593025	2.47548861599881	0.0133054003437794	NA	Not
ENSG00000255471.1	3.04194121015077	5.49877202831863	2.21440681052202	2.48318059815864	0.0130215051662681	NA	Not
ENSG00000272468.1	3.01897803604674	5.4894789858282	2.22825824348196	2.46357396046256	0.0137559511698295	NA	Not
ENSG00000160505.15	3.00749644899473	5.48474040188602	2.25413757482795	2.43318795761818	0.0149665294787658	NA	Not
ENSG00000109771.15	2.73328957593361	5.34233657088062	2.36139149657779	2.26236800573853	0.0236746759488691	NA	Not
ENSG00000198326.9	2.7218079888816	5.33698057369347	2.31610136593504	2.3042949035777	0.0212060948569494	NA	Not
ENSG00000230392.1	2.69884481477757	5.32653197193807	2.29280147920817	2.32315445547322	0.0201708564624468	NA	Not
ENSG00000262877.4	2.67588164067354	5.31601323703867	2.32505565044431	2.28640257966419	0.0222307175609308	NA	Not
ENSG00000105246.6	2.39019318056041	5.14889251115131	2.44813352046814	2.10319105069348	0.0354490722736862	NA	Not
