baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000215182.8	906.950238151983	1.33042753138906	1.04904588990972	1.26822624652155	0.204717166605796	0.678602771171722	Not
ENSG00000167548.15	295.402075048385	1.17763297079259	1.00389831959979	1.17306000797178	0.240771742429436	0.703621892434722	Not
ENSG00000118523.6	1166.60192328687	1.05631875703245	0.18377525006966	5.74788366024287	9.03673799675116e-09	2.77579662425669e-05	Significant
ENSG00000248527.1	329.661488256441	1.00052795207622	0.721692356697627	1.38636351457914	0.165635931467139	0.646987006833609	Not
ENSG00000178209.15	8377.63959340243	0.971301000267921	0.589115696529558	1.64874405144828	0.0992000813184919	0.556227859891019	Not
ENSG00000159216.18	529.912199330927	0.894792920235292	0.227279358809543	3.93697397300876	8.25155526111917e-05	0.0412990340819014	Significant
ENSG00000142798.20	1270.90282067891	0.866820694881783	0.591879035164092	1.46452339647656	0.143050995224858	0.611096464363143	Not
ENSG00000169710.9	681.36873565104	0.848722022998072	0.580817827551831	1.46125339605271	0.143945914321013	0.611907939014449	Not
ENSG00000124762.13	998.729304492295	0.848649603947067	0.148849951228805	5.70137643271758	1.18843868599544e-08	2.77579662425669e-05	Significant
ENSG00000080603.17	272.75354413564	0.835998295947627	0.65281411985689	1.28060694540568	0.200331759237995	0.675902725583999	Not
ENSG00000135074.15	543.296285555449	0.808991426513588	0.17638762084042	4.58644105895329	4.50865609989674e-06	0.00526535888199607	Significant
ENSG00000119596.18	293.415237981393	0.791290520761057	0.612929754332008	1.290997076204	0.196704691361722	0.670710351519019	Not
ENSG00000186174.12	441.591009219484	0.784566809517496	0.623407849395035	1.25851288250357	0.208206331190667	0.680566522275051	Not
ENSG00000179820.16	1064.27064752409	0.779673901206755	0.513468526584589	1.51844535904249	0.128902164280872	0.598280433453265	Not
ENSG00000166833.21	362.156235644461	0.775990144668157	0.258673105323887	2.99988722714923	0.00270079581672526	0.178532795167867	Not
ENSG00000101311.15	291.949908984825	0.770734294547551	0.227929002435353	3.38146653700269	0.000721000139610197	0.097154768812474	Not
ENSG00000138623.10	1137.80924907052	0.769113705879268	0.138286637313239	5.56173554308879	2.67104851138093e-08	4.67900922981154e-05	Significant
ENSG00000183495.13	304.224831107526	0.768581805857277	0.733347180186254	1.04804630961024	0.294617271178353	0.739660935118666	Not
ENSG00000065526.11	434.021415894376	0.766566480036863	0.653071871373836	1.17378578627843	0.240480838633798	0.703349585016723	Not
ENSG00000103257.9	831.484281424547	0.764923562589806	0.556851337775363	1.37365848063811	0.169547732310511	0.649408501736144	Not
ENSG00000137801.10	8655.2836767574	0.744698296771881	0.125689100768569	5.92492341991604	3.12442957619589e-09	2.18928780404046e-05	Significant
ENSG00000064393.16	348.867683742623	0.73062302734548	0.597394817161708	1.22301534321432	0.221323901222463	0.690479330305342	Not
ENSG00000111145.8	279.725375919518	0.727448884933157	0.214284850894415	3.39477514111155	0.000686849865823225	0.097154768812474	Not
ENSG00000204524.7	290.750423740922	0.723719862887128	0.212192092108738	3.41068253625709	0.000648004927222462	0.097154768812474	Not
ENSG00000005339.14	391.254744754661	0.719597174197407	0.547459485091904	1.3144300058599	0.188701538328373	0.6690616956559	Not
