baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000205364.4	7.41926448105031	-5.72762736109146	1.80958698028609	3.1651572560419	0.00154999154488946	0.00972714079955991	Significant
ENSG00000249863.2	7.00227843573686	-5.64316007760459	1.83018179994138	3.0833877146988	0.00204658326364639	0.0123928325893951	Significant
ENSG00000075461.6	18.472103078249	-5.56127665826043	1.55334017485281	3.58020525593333	0.000343324414710088	0.00262810158399159	Significant
ENSG00000239218.2	5.73494012506604	-5.35448269223974	1.91198602197023	2.800482132564	0.00510263321679086	0.0266658309367609	Significant
ENSG00000125144.13	84.0076765390013	-5.17005154797653	0.675058649486002	7.65867017912158	1.87868178436419e-14	5.35367378792753e-13	Significant
ENSG00000166780.11	4.82243765044134	-5.106462425706	1.98351749606861	2.57444788655869	0.0100400210177194	0.0464474756792574	Significant
ENSG00000133083.14	4.12746090825226	-4.87922427345245	2.07856925389243	2.34739557718146	0.0189051715373895	0.0770128798516831	Not
ENSG00000167080.8	23.5560956432156	-4.87670815500005	1.19608169594212	4.07723667333511	4.55740974932145e-05	0.000425811041059304	Significant
ENSG00000172458.4	4.04977314666811	-4.85372799492705	2.06851345928482	2.34648122454335	0.0189516210137135	0.0771601503069667	Not
ENSG00000244479.7	4.00316048971762	-4.83823832343364	2.08154123912429	2.32435381653505	0.0201065386564039	0.080821495843053	Not
ENSG00000170458.14	3.95654783276712	-4.82248163376924	2.11137018956637	2.28405310333555	0.0223684102371926	0.0879952017864712	Not
ENSG00000207148.1	3.91162042064395	-4.80301776654871	4.79375496073276	1.00193226518498	0.316376308082499	0.574031024736218	Not
ENSG00000236305.1	3.89524024591346	-4.7973971377186	2.08995143743342	2.2954586655899	0.0217068526253614	0.0858776786238529	Not
ENSG00000271754.1	3.53956178745368	-4.66017511646356	2.14675888846979	2.17079577100777	0.0299466137699128	0.110308639205742	Not
ENSG00000169688.11	3.41610399133269	-4.60779757797539	2.16691192975396	2.12643509627942	0.0334670480804136	0.12056085812994	Not
ENSG00000241790.2	9.59904965872595	-4.57693931429007	1.68454502980049	2.71701808697398	0.00658730077580989	0.0330472000510623	Significant
ENSG00000178660.6	3.26157109057805	-4.54075262169041	2.19690467698318	2.06688650138696	0.0387448499813081	0.134622785599195	Not
ENSG00000205309.14	3.24603353826122	-4.53436180123993	2.19774454489974	2.06318874127693	0.0390946994099539	0.135429735692455	Not
ENSG00000140678.16	3.23049598594439	-4.52794451225271	2.20085874038783	2.05735353621778	0.039652231105778	0.1370560613348	Not
ENSG00000272931.1	3.1070381898234	-4.47044167336472	2.23013742681077	2.00455883104823	0.0450102315779934	0.151113628083867	Not
ENSG00000244137.1	3.07596308518974	-4.45698691095459	2.23205021526588	1.99681301095803	0.0458454996438588	0.153291050186968	Not
