baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000171855.7	611.069362287948	12.3781929942044	1.43783414051051	8.60891576118055	7.37548208917525e-18	4.03836727513611e-16	Significant
ENSG00000183709.7	181.331869242872	12.0681779398098	1.4618018942147	8.25568634681033	1.51031778254381e-16	7.87224797345732e-15	Significant
ENSG00000197110.8	125.211885266408	11.5334375739086	1.47069654175008	7.84215998780015	4.42861613538767e-15	2.06633038338505e-13	Significant
ENSG00000232810.4	155.774847068416	10.405126283702	1.45332223914229	7.15954521541126	8.09451440990194e-13	3.10146769564388e-11	Significant
ENSG00000138135.6	35.442890656172	9.71282458117265	1.53450507602203	6.32961384940587	2.45775493467434e-10	7.40612020853168e-09	Significant
ENSG00000175121.11	22.1036892487039	9.030522821165	1.59560738219949	5.65961459059981	1.51713320136419e-08	3.6023092990531e-07	Significant
ENSG00000272395.7	22.0330684597423	9.02678979175115	1.58823174554908	5.68354701198245	1.31929436400145e-08	3.16721884868231e-07	Significant
ENSG00000243978.8	57.9634901797708	8.97713223407683	1.48938659900211	6.02740231454445	1.6661589192255e-09	4.49759259113483e-08	Significant
ENSG00000276403.1	19.3581660993525	8.83987925471602	1.60814266917324	5.49694963274662	3.86417008594398e-08	8.60980746877146e-07	Significant
ENSG00000164400.6	17.6861349336052	8.71054119232581	1.62171469989498	5.37119210480726	7.82178280342038e-08	1.64162858668643e-06	Significant
ENSG00000173114.13	17.1229061459426	8.66431368664897	1.62980701096365	5.31615929270425	1.05980380153709e-07	2.17950409754494e-06	Significant
ENSG00000248596.7	12.3186750155853	8.18895995380059	1.69505154367559	4.831097900447	1.3578221349738e-06	2.40486926497349e-05	Significant
ENSG00000182393.3	355.21918310804	8.13146145377193	0.468162685805758	17.3688798793881	1.41970327916092e-67	3.2002324436878e-65	Significant
ENSG00000136297.14	11.7907566224035	8.125576784034	1.70475484626704	4.76641952467645	1.87528582248729e-06	3.22590049761267e-05	Significant
ENSG00000250508.1	63.4597873343873	8.10655639993796	1.0927746379937	7.41832406983873	1.1861159468126e-13	4.94889771366016e-12	Significant
ENSG00000144596.13	10.7349198360399	7.98978652947971	1.72806059063404	4.62355693589897	3.77215140166912e-06	6.12471766873442e-05	Significant
ENSG00000077522.13	9.16881985373487	7.76089406651169	1.78276124263362	4.35329974699627	1.3410359230148e-05	0.000199797085972256	Significant
ENSG00000261227.2	8.5702806715915	7.66549786646349	1.7950121113152	4.27044353525115	1.95084608729711e-05	0.00028030492994384	Significant
ENSG00000140093.10	7.95408629220773	7.56032303558078	1.88323845836502	4.01453305182842	5.95635970266063e-05	0.000770951046674724	Significant
ENSG00000279400.1	7.56740947694909	7.48337496599254	1.85668997973728	4.03049246113314	5.56601142772002e-05	0.000727479370112472	Significant
ENSG00000211891.6	19.4516929414684	7.39848135854426	1.59332471353536	4.64342346270904	3.42682974407906e-06	5.62719809536236e-05	Significant
ENSG00000007908.16	6.98652549204611	7.36974661510585	1.86614549345837	3.94918115492064	7.84189894313622e-05	0.00098846652110396	Significant
ENSG00000133107.14	6.42329670438353	7.24966688508593	1.90058081832478	3.81444809670129	0.000136487618150339	0.00163380385395547	Significant
ENSG00000197083.11	6.42329670438353	7.24966688508593	1.90058081832478	3.81444809670129	0.000136487618150339	0.00163380385395547	Significant
ENSG00000187475.5	6.40564150714313	7.24647985236328	1.90982785177415	3.79431049014789	0.000148054311469511	0.00174696035634011	Significant
ENSG00000154451.14	65.8188075895494	7.15433685608637	0.817661342592897	8.74975553252787	2.13815437478257e-18	1.20103383440456e-16	Significant
ENSG00000183813.6	5.9836542974037	7.1457006834473	3.17351538193342	2.25166725963492	0.024343307144326	0.122188196097185	Not
ENSG00000182531.7	5.94834390292291	7.13593989224191	1.95364579671516	3.65262725937332	0.000259570883819628	0.00282468453320206	Significant
ENSG00000205488.9	16.1959065961756	7.13348633808162	1.62313632028161	4.39487814359546	1.10834909768216e-05	0.000167283611204081	Significant
ENSG00000137473.17	5.87772311396134	7.12211329420308	1.94235696379622	3.66673759095409	0.000245664663080356	0.00269635526988325	Significant
ENSG00000271243.1	5.4557359042219	7.01276953186206	4.80609232174773	1.45914166070615	0.144526121807194	0.416009933036064	Not
ENSG00000204131.9	5.40277031250072	6.99737600780895	1.99129627343185	3.5139803660404	0.000441445440545331	0.00451778803746775	Significant
ENSG00000161031.13	14.5238754304283	6.97675516680016	1.65370492871542	4.21886338103838	2.45536991385518e-05	0.000345924152555068	Significant
ENSG00000117707.15	5.29683912905836	6.97406413218224	2.06432021084089	3.37838291538181	0.000729134745034529	0.00693457083263798	Significant
ENSG00000169248.12	152.516077970048	6.90560303251072	0.503825926232504	13.7063272709074	9.30500543242807e-43	1.2818014229417e-40	Significant
ENSG00000225742.5	4.91016231379971	6.86071986235509	4.80846017212103	1.4268018485695	0.153637018212657	0.431106904444464	Not
ENSG00000268105.1	4.91016231379971	6.86071986235509	4.80846017212103	1.4268018485695	0.153637018212657	0.431106904444464	Not
ENSG00000113196.3	4.85719672207853	6.84409203110263	2.03764051730828	3.35883192985565	0.000782726564329419	0.00732782361222531	Significant
